Company,Sector,GICS Sub-Industry,Ticker,Index
Accor,Consumer Cyclical,"Hotels, Resorts & Cruise Lines",AC.PA,CAC40
Air Liquide,Basic Materials,Industrial Gases,AI.PA,CAC40
Airbus,Industrials,Aerospace & Defense,AIR.PA,CAC40
ArcelorMittal,Basic Materials,Steel,MT.AS,CAC40
Atos,Technology,IT Consulting & Other Services,ATO.PA,CAC40
AXA,Financial Services,Life & Health Insurance,CS.PA,CAC40
BNP Paribas,Financial Services,Diversified Banks,BNP.PA,CAC40
Bouygues,Industrials,Construction & Engineering,EN.PA,CAC40
Capgemini,Technology,IT Consulting & Other Services,CAP.PA,CAC40
Carrefour,Consumer Defensive,Hypermarkets & Super Centers,CA.PA,CAC40
Crédit Agricole,Financial Services,Regional Banks,ACA.PA,CAC40
Danone,Consumer Defensive,Packaged Foods & Meats,BN.PA,CAC40
Dassault Systèmes,Technology,Application Software,DSY.PA,CAC40
Engie,Utilities,Gas Utilities,ENGI.PA,CAC40
EssilorLuxottica,Healthcare,"Apparel, Accessories & Luxury Goods",EL.PA,CAC40
Hermès,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",RMS.PA,CAC40
Kering,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",KER.PA,CAC40
L'Oréal,Consumer Defensive,Personal Products,OR.PA,CAC40
Legrand,Industrials,Electrical Components & Equipment,LR.PA,CAC40
LVMH,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",MC.PA,CAC40
Michelin,Industrials,Tires & Rubber,ML.PA,CAC40
Orange,Communication Services,Integrated Telecommunication Services,ORA.PA,CAC40
Pernod Ricard,Consumer Defensive,Distillers & Vintners,RI.PA,CAC40
PSA,Consumer Cyclical,Automobile Manufacturers,UG.PA,CAC40
Publicis,Communication Services,Advertising,PUB.PA,CAC40
Renault,Consumer Cyclical,Automobile Manufacturers,RNO.PA,CAC40
Safran,Industrials,Aerospace & Defense,SAF.PA,CAC40
Saint-Gobain,Industrials,Building Products,SGO.PA,CAC40
Sanofi,Healthcare,Pharmaceuticals,SAN.PA,CAC40
Schneider Electric,Industrials,Electrical Components & Equipment,SU.PA,CAC40
Société Générale,Financial Services,Diversified Banks,GLE.PA,CAC40
Sodexo,Industrials,Restaurants,SW.PA,CAC40
STMicroelectronics,Technology,Semiconductors,STM.PA,CAC40
Thales,Industrials,Aerospace & Defense,HO.PA,CAC40
Total,Energy,Integrated Oil & Gas,FP.PA,CAC40
Unibail-Rodamco-Westfield,Real Estate,Retail REITs,URW.AS,CAC40
Veolia,Industrials,Multi-Utilities,VIE.PA,CAC40
Vinci,Industrials,Construction & Engineering,DG.PA,CAC40
Vivendi,Communication Services,Movies & Entertainment,VIV.PA,CAC40
Worldline,Technology,Data Processing & Outsourced Services,WLN.PA,CAC40
3M Company,Industrials,Industrial Conglomerates,MMM,SP100
Abbott Laboratories,Health Care,Health Care Equipment,ABT,SP100
AbbVie Inc.,Health Care,Pharmaceuticals,ABBV,SP100
Accenture plc,Information Technology,IT Consulting & Other Services,ACN,SP100
